Reference, Value, Footprint, Datasheet, Digikey #, Digkey #
"Q1","2N7002E","TO_SOT_Packages_SMD:SOT-223","http://www.diodes.com/assets/Datasheets/ds30376.pdf","ZVN4206GVTR-ND",""
"D3","D_Schottky","Diodes_SMD:SOD-523","~","31-SDM20U30Q-7TR-ND",""
"J2","Conn_01x02_Female","Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-2pol","~","ED2561-ND",""
"U1","L7805","TO_SOT_Packages_SMD:TO-252-2Lead","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","NCV7805BDTRKGOSCT-ND",""
"C1","22uF","Capacitors_SMD:C_1206","~","1276-1771-2-ND",""
"C2","0.1uF","Capacitors_SMD:C_1206","~","478-1529-2-ND",""
"D4","LED","LEDs:LED-0603","~","SML-D12U1WT86TR-ND",""
"R3","1K","Resistors_SMD:R_1210","~","2019-RK73B2ETTD102JTR-ND",""
"D2","LED","LEDs:LED-0603","~","SML-D12U1WT86TR-ND",""
"R2","1K","Resistors_SMD:R_1210","~","2019-RK73B2ETTD102JTR-ND",""
"U2","74LVC2T45DC","Tinkerforge-kicad:VSSOP8","https://assets.nexperia.com/documents/data-sheet/74LVC_LVCH2T45.pdf","1727-4578-2-ND",""
"J3","ESP32","Pin_Headers:Pin_Header_Straight_2x10","~"
"J4","Conn_01x06","Pin_Headers:Pin_Header_Straight_1x06","~"
"R1","1K","Resistors_SMD:R_1210","~","2019-RK73B2ETTD102JTR-ND",""
"D1","LED","LEDs:LED-0603","~","SML-D12U1WT86TR-ND",""
